batch_birdid!,A_firstisomidtimereltokill,A_lastnotisomidtimereltokill,A_firstf50lemidtimereltokill,A_firstf50leptotgethreshmidtimerel,A_lastnotf50lemidtimereltokill,A_lastnotf50leptotgethreshmidtimer,B_firstisomidtimereltokill,B_lastnotisomidtimereltokill,B_firstf50lemidtimereltokill,B_firstf50leptotgethreshmidtimerel,B_lastnotf50lemidtimereltokill,B_lastnotf50leptotgethreshmidtimer,batch!,birdtype!,birdagegroup!,block!,pen!,killweight,killagewks,device!,testorder,flatlinefromtracetimereltokill,movementceasetimereltokill,skinbroken!,ext_bl!,subc_ht!,dis!,dislevel!,vertdam!,neckgap!,carteries!,cveins!,neckmuscle!,spinalcord!,skullpenloc!,l_forebrain!,r_forebrain!,cerebellum!,midbrain!,brainstem!,in_bc_ht!,failedattempt!,dev_success!,kill_success!,maxmax,maxmaxJT,maxmaxPUP,maxmaxNIC,maxmaxRB
3_orange_53,52,42,12,12,18,18,52,42,1,1,4,4,3,broiler,adult,1,12,2.75,6,MARM,5,51,180,y,y,y,,,,,,,,,fm,n,n,y,n,y,y,0,y,y,180,15,90,0,0
3_orange_57,,,,,,,,,,,,,3,broiler,adult,4,13,3.13,6,NMCD,53,,75,y,y,y,y,c0-c1,n,11,2,y,y,y,,,,,,,,0,n,y,165,0,45,0,0
3_orange_78,20,16,2,2,12,12,20,16,1,1,3,3,3,broiler,adult,1,11,2.44,6,MARM,1,64,120,y,y,y,,,,,,,,,fm,n,n,y,n,y,y,0,y,y,150,0,75,30,30
3_orange_80,,,,,,,,,,,,,3,broiler,adult,3,11,2.71,6,CONTROL,44,,90,n,n,y,y,c0-c1,n,7,2,y,y,y,,,,,,,,0,y,y,60,15,45,0,0
3_orange_82,,,,,,,,,,,,,3,broiler,adult,3,12,2.92,6,CONTROL,40,,165,n,n,y,y,c0-c1,n,5,1,y,y,y,,,,,,,,0,n,y,120,0,45,0,0
3_purple_200,24,22,3,3,22,,24,22,3,3,22,,3,layer,juvenile,1,25,0.87,12,CONTROL,10,21,120,y,y,y,y,c0-c1,n,11,2,y,y,y,,,,,,,,0,n,y,195,0,15,0,0
3_purple_52,,,,,,,,,,,,,3,layer,juvenile,2,32,0.87,12,NMCD,27,,165,y,y,y,y,c0-c1,n,10,2,y,y,y,,,,,,,,0,n,y,135,0,45,0,0
3_purple_54,,,,,,,,,,,,,3,layer,juvenile,2,33,0.98,12,NMCD,19,,195,n,n,y,y,c0-c1,n,8,2,y,y,y,,,,,,,,0,y,y,240,0,15,0,0
3_purple_62,,,,,,,,,,,,,3,layer,juvenile,3,31,0.92,12,MARM,43,,,y,y,y,,,,,,,,,lm,n,n,n,n,n,n,1,n,n,180,0,45,0,0
3_purple_64,,,,,,,,,,,,,3,layer,juvenile,2,25,0.79,12,NMCD,23,,240,y,y,y,y,c0-c1,n,12,2,y,y,y,,,,,,,,0,n,y,165,0,60,0,0
3_purple_65,44,42,3,3,42,32,44,42,1,1,,,3,layer,juvenile,1,38,0.83,12,CONTROL,6,43,165,n,n,y,y,c0-c1,n,6,2,y,y,y,,,,,,,,0,y,y,165,15,90,0,0
3_red_501,,,,,,,,,,,,,3,layer,adult,2,6,1.52,69,CONTROL,25,,180,n,n,y,y,c0-c1,n,3,0,y,y,y,,,,,,,,0,n,y,30,30,30,0,0
3_red_55,,,,,,,,,,,,,3,layer,adult,2,5,1.71,69,CONTROL,21,,135,n,n,y,y,c0-c1,n,6,1,y,y,y,,,,,,,,0,n,y,90,0,60,15,15
3_red_58,,,,,,,,,,,,,3,layer,adult,1,2,1.79,69,NMCD,8,,150,n,n,y,y,c2-c3,n,4,1,y,y,y,,,,,,,,0,n,y,30,0,30,30,30
3_red_59,,48,,,48,48,,48,40,40,48,48,3,layer,adult,4,3,1.31,69,MARM,56,,255,y,y,y,,,,,,,,,cn,n,n,n,y,n,y,0,n,y,75,0,30,0,0
3_red_95,46,44,6,6,44,34,46,44,6,6,,,3,layer,adult,1,1,1.81,69,NMCD,4,,180,n,n,y,y,c1-c2,n,3,0,y,y,y,,,,,,,,0,n,y,255,0,240,0,0
